Athlete,Rating
"Semenya, Caster",1668.1190232430745
"Niyonsaba, Francine",1618.0395456733997
"Wambui, Margaret",1567.4257827567167
"Jozwik, Joanna",1544.7614840254048
"Bishop, Melissa",1544.2886198137421
"Sharp, Lynsey",1539.434278635576
"Grace, Kate",1535.1428200380653
"Arzamasova, Marina",1531.3914179342737
"Oskan-Clarke, Shelayna",1519.8844669971613
"Sum, Eunice",1513.598818581178
"Lindh, Lovisa",1513.3930123744194
"Pryshchepa, Natalia",1512.2329429430768
"Eykens, Renee",1508.8734784502753
"Buchel, Selina",1506.7730787008963
"Nakaayi, Halimah",1504.3952908704846
"Wilson, Ajee",1503.3106224028384
"Santiuisti, Yuneysi",1501.7023483235462
"Cichoka, Angelika",1500.8148331030675
"Terzic, Amela",1499.7479096807715
"Lupu, Natalia",1499.392511195333
"Alemu, Habitam",1499.1875341247514
"Lamote, Renelle",1497.5154637452138
"Wang, Chunyu",1493.304442350263
"Goule, Natoya",1492.917849260431
"Diago, Sahily",1490.657253250095
"Hrivnak, Lucia",1490.4873980268062
"Leonard, Alison",1490.1893411288897
"Ludlow, Molly",1490.0085111011967
"Almanza, Rose Mary",1489.8838880323474
"Guerrero, Esther",1489.453397710493
"Veitia, Lisneidy",1488.9974225695325
"Chebet, Winny",1488.6848979713982
"Tracey, Adelle",1488.2819274803035
"Karol, Yuliya",1488.2388329661073
"Fedronic, Justine",1487.379825397148
"Hynne, Hedda",1487.155092998334
"Yarigo, Noelie",1486.5153742869502
"Bell, Alexandra",1486.4783446815509
"Williams, Chrishuna",1486.2288925270968
"Lyakhova, Olha",1485.6291975858235
"Balciunaite, Egel",1485.611705330292
"Akkaoui, Malika",1485.4531963550335
"Rodriguez, Deborah",1485.446682967066
"Moh, Clarisse",1484.31396180705
"Petty, Angela",1484.2332897678616
"Kohlmann, Fabienne",1483.9619758906392
"Roesler, Laura",1483.4950273724196
"Pierdevara, Florina",1483.4941028004064
"Sinclair, Kenia",1483.3775123417158
"Campbell, Simoya",1483.344367020161
"Hassan, Sifan",1482.1801911419493
"Lukka, Tintu",1481.9950139642826
"Kajan, Selma",1480.5191458869363
"Mandaba, Elisabeth",1480.109213573554
"Everard, Ciara",1479.7242705245208
"Mathias, Charline",1479.5979390054663
"de Lima, Flavia",1479.596962340707
"Lokonyen, Rose",1477.4714604253072
"Bobocea, Claudia",1477.3625688168192
"Tsepang, Sello",1476.9892642247733
"Bakhit, Amna",1476.0898895397575
"Price, Chanelle",1475.5815113610438
"Nanyondo, Winnie",1475.2902124884945
"Ba, Houleye",1474.3909989923723
"Ennaoui, Sofia",1473.9727124430187
"Tsegay, Gudaf",1473.8241489143452
"Myint, Swe Li",1473.35482082821
"Mukasheva, Margarita",1470.399652096924
"El Sharnouby, Fatma",1467.1248005542002
"Hering, Christina",1466.6864900969135
"Assefa, Tigst",1466.2549394402747
"Hinriksdottir, Anita",1452.6347987494505
